Municipio de residencia;Seccion de residencia;0 - Ocupaciones militares;1 - Directores y gerentes;2 - Técnicos y profesionales científicos e intelectuales;"3 - Técnicos; profesionales de apoyo";4 - Empleados contables, administrativos y otros empleados de oficina;5 - Trabajadores de los servicios de restauración, personales, protección y vendedores;6 - Trabajadores cualificados en el sector agrícola, ganadero, forestal y pesquero;7 - Artesanos y trabajadores cualificados de las industrias manufactureras y la construcción (excepto operadores de instalaciones y maquinaria);8 - Operadores de instalaciones y maquinaria, y montadores;9 - Ocupaciones elementales
29067 Málaga;Sección 2906708052;*;*;135;80;90;80;*;*;*;*
29067 Málaga;Sección 2906708053;*;*;*;*;90;155;*;*;185;*
29067 Málaga;Sección 2906708054;*;*;130;*;65;210;*;100;105;80
29067 Málaga;Sección 2906708055;*;*;65;*;90;220;*;75;*;*
29067 Málaga;Sección 2906708056;*;*;335;235;215;205;*;100;80;120
29067 Málaga;Sección 2906708057;*;*;255;125;170;180;*;*;*;*
29067 Málaga;Sección 2906708058;*;105;300;140;260;175;*;*;*;*
29067 Málaga;Sección 2906708059;*;*;400;125;170;130;*;*;*;*
29067 Málaga;Sección 2906708060;*;*;120;90;95;135;*;*;*;*
29067 Málaga;Sección 2906708061;*;*;275;280;170;340;*;105;90;*
29067 Málaga;Sección 2906708062;*;*;105;95;85;*;*;*;*;*
29067 Málaga;Sección 2906708063;*;*;230;140;190;215;*;55;*;*
29067 Málaga;Sección 2906708064;*;*;*;*;95;*;*;90;*;*
29067 Málaga;Sección 2906708065;*;*;270;240;90;495;*;250;115;215
29067 Málaga;Sección 2906709001;*;*;115;110;*;80;*;*;*;*
29067 Málaga;Sección 2906709002;*;*;60;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709003;*;70;310;*;135;135;*;*;*;*
29067 Málaga;Sección 2906709004;*;*;190;130;115;155;*;*;*;*
29067 Málaga;Sección 2906709005;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709006;*;*;265;*;75;*;*;*;*;*
29067 Málaga;Sección 2906709007;*;110;350;105;80;85;*;*;*;*
29067 Málaga;Sección 2906709008;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709009;*;*;*;*;65;*;*;*;*;*
29067 Málaga;Sección 2906709010;*;110;*;*;*;135;*;*;*;*
29067 Málaga;Sección 2906709011;*;*;*;*;80;230;*;110;65;110
29067 Málaga;Sección 2906709012;*;*;*;*;*;125;*;*;*;150
29067 Málaga;Sección 2906709013;*;*;85;*;*;135;*;*;*;*
29067 Málaga;Sección 2906709014;*;*;*;*;*;140;*;*;*;*
29067 Málaga;Sección 2906709015;*;*;*;*;*;215;*;*;*;*
29067 Málaga;Sección 2906709016;*;*;*;*;*;110;*;*;*;*
29067 Málaga;Sección 2906709017;*;*;*;*;*;*;*;*;*;75
29067 Málaga;Sección 2906709018;*;*;*;*;*;85;*;*;*;*
29067 Málaga;Sección 2906709019;*;*;*;*;*;90;*;*;*;*
29067 Málaga;Sección 2906709020;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709021;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709022;*;*;*;*;*;*;*;90;*;225
29067 Málaga;Sección 2906709023;*;*;*;*;140;130;*;*;*;*
29067 Málaga;Sección 2906709024;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709025;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709026;*;*;*;*;*;110;*;*;*;*
29067 Málaga;Sección 2906709027;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709028;*;*;105;*;90;105;*;*;*;*
29067 Málaga;Sección 2906709029;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709030;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709031;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709032;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709033;*;*;50;*;*;105;*;*;*;*
29067 Málaga;Sección 2906709034;*;*;*;*;*;135;*;*;*;*
29067 Málaga;Sección 2906709036;*;*;85;*;105;345;*;*;*;105
29067 Málaga;Sección 2906709037;*;*;*;*;110;155;*;*;*;*
29067 Málaga;Sección 2906709038;*;*;100;75;90;85;*;*;*;*
29067 Málaga;Sección 2906709039;*;*;95;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709040;*;*;130;*;*;*;*;*;*;120
29067 Málaga;Sección 2906709041;*;*;*;*;*;*;*;*;*;85
29067 Málaga;Sección 2906709042;*;*;*;*;*;*;*;*;*;95
29067 Málaga;Sección 2906709043;*;*;*;*;*;160;*;*;*;*
29067 Málaga;Sección 2906709044;*;*;*;*;*;65;*;*;*;*
29067 Málaga;Sección 2906709045;*;*;70;115;*;135;*;*;*;*
29067 Málaga;Sección 2906709046;*;*;95;100;*;*;*;*;*;*
29067 Málaga;Sección 2906709047;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709048;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906709049;*;*;*;*;*;135;*;*;*;*
29067 Málaga;Sección 2906709050;*;*;*;*;*;250;*;*;90;55
29067 Málaga;Sección 2906709051;*;*;*;90;60;145;*;*;*;265
29067 Málaga;Sección 2906709052;*;*;245;*;185;70;*;*;*;75
