Municipio de residencia;Sección ;Total;Analfabetos;Estudios primarios incompletos;Educación primaria;Primera etapa de educación secundaria y similar;Segunda etapa de educación secundaria con orientación general;Segunda etapa de educación secundaria con orientación profesional;Educación postsecundaria no superior;Enseñanzas de formación profesional, artes plásticas y diseño y deportivas de grado superior y equivalentes, títulos propios universitarios que precisan del título de bachiller, de duración igual o superior a 2 años;Grados universitarios de 240 créditos ECTS, diplomados universitarios, títulos propios universitarios de experto o especialista, y similares;Grados universitarios de más de 240 créditos ECTS, licenciados;Másteres, especialidades en Ciencias de la Salud por el sistema de residencia y similares;Doctorado universitario
29067 Málaga;Sección 2906709012;582;0;12;30;159;63;60;0;69;78;66;30;9
29067 Málaga;Sección 2906709036;654;0;3;30;120;75;57;0;72;129;102;48;15
29067 Málaga;Sección 2906709046;507;0;6;18;81;48;42;0;48;90;120;33;18
29067 Málaga;Sección 2906709052;543;3;6;24;117;54;42;0;42;93;102;48;9
29067 Málaga;Sección 2906709055;525;0;6;21;108;57;48;0;69;117;63;39;3
29067 Málaga;Sección 2906709056;609;0;3;18;87;51;45;0;57;123;144;54;27
29067 Málaga;Sección 2906709083;540;0;3;18;102;60;54;0;81;105;90;21;6
29067 Málaga;Sección 2906710001;789;0;21;69;231;81;81;3;102;90;69;27;15
29067 Málaga;Sección 2906710002;612;0;3;36;189;72;84;3;66;63;60;27;9
29067 Málaga;Sección 2906710003;798;0;0;18;84;69;48;0;69;171;225;75;42
29067 Málaga;Sección 2906710016;675;0;9;39;186;78;75;3;81;87;78;30;9
29067 Málaga;Sección 2906710019;699;0;0;15;105;93;69;3;111;141;93;48;15
29067 Málaga;Sección 2906710021;654;0;3;27;234;81;81;3;108;54;42;15;3
29067 Málaga;Sección 2906710023;636;0;0;24;132;90;69;3;93;114;75;27;6
29067 Málaga;Sección 2906710026;516;0;3;21;135;72;66;0;66;63;57;30;3
29067 Málaga;Sección 2906710034;783;0;6;36;258;99;87;3;99;93;72;18;6
29067 Málaga;Sección 2906710052;588;0;0;15;150;81;69;3;66;84;60;48;12
29067 Málaga;Sección 2906710056;519;0;3;3;63;57;36;0;78;102;102;54;21
29067 Málaga;Sección 2906710066;663;0;9;15;117;69;57;0;57;108;159;51;15
29067 Málaga;Sección 2906710068;699;0;3;24;195;102;93;3;117;93;48;21;6
29067 Málaga;Sección 2906710069;1029;3;0;21;141;114;78;0;105;183;279;75;33
29067 Málaga;Sección 2906710070;975;0;6;15;153;114;72;0;99;192;234;69;27
29067 Málaga;Sección 2906710071;834;0;3;18;105;72;66;0;84;141;195;102;45
29067 Málaga;Sección 2906710072;1479;0;6;30;129;147;87;3;141;297;426;150;54
29067 Málaga;Sección 2906710074;534;0;6;24;123;66;60;3;75;78;66;24;15
29067 Málaga;Sección 2906711002;894;3;6;45;279;117;117;3;99;108;78;36;6
29067 Málaga;Sección 2906711003;894;0;3;27;228;105;108;0;114;132;111;48;15
29067 Málaga;Sección 2906711004;723;0;0;30;111;108;54;0;81;135;141;48;15
29067 Málaga;Sección 2906711006;639;0;9;33;264;78;75;3;84;54;30;12;0
29067 Málaga;Sección 2906711007;936;0;9;48;231;102;108;0;123;138;123;45;9
29067 Málaga;Sección 2906711008;516;0;3;12;78;78;30;0;48;93;96;54;21
29067 Málaga;Sección 2906711010;735;0;3;24;138;111;57;3;87;126;120;45;21
29067 Málaga;Sección 2906711013;621;0;0;21;120;99;57;3;87;111;81;30;15
