Municipio de residencia;Sección ;Total;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94
29067 Málaga;Sección 2906707043;684;0;30;63;78;84;99;96;99;102;27;6;3;3;0;0;0
29067 Málaga;Sección 2906707046;798;3;33;60;90;93;123;108;117;99;57;12;0;0;0;0;0
29067 Málaga;Sección 2906707048;681;0;30;48;84;90;126;123;81;63;27;3;0;0;0;0;0
29067 Málaga;Sección 2906707050;600;3;24;42;75;102;111;84;81;51;24;0;0;0;0;0;0
29067 Málaga;Sección 2906707066;504;0;18;42;57;90;105;66;60;42;21;3;0;0;0;0;0
29067 Málaga;Sección 2906707067;525;0;24;51;57;72;90;93;57;51;24;0;0;0;0;0;0
29067 Málaga;Sección 2906707071;531;0;24;54;63;72;63;66;66;75;48;3;0;0;3;0;0
29067 Málaga;Sección 2906707072;795;0;36;81;69;66;78;84;144;147;87;6;0;0;0;0;0
29067 Málaga;Sección 2906707074;822;0;27;60;162;150;135;102;78;60;36;9;0;0;0;0;0
29067 Málaga;Sección 2906707076;633;0;30;57;63;75;78;99;102;66;54;6;0;0;0;0;0
29067 Málaga;Sección 2906707077;831;3;30;75;87;114;168;117;108;75;51;3;0;0;0;0;0
29067 Málaga;Sección 2906707082;915;6;48;81;102;90;120;129;150;123;66;6;0;0;0;0;0
29067 Málaga;Sección 2906707089;720;3;33;60;66;117;105;105;102;66;54;6;0;0;0;0;0
29067 Málaga;Sección 2906707090;813;6;39;69;81;105;147;132;117;75;39;3;0;0;0;0;0
29067 Málaga;Sección 2906707091;1227;3;18;48;147;288;258;228;129;72;30;3;0;0;0;0;0
29067 Málaga;Sección 2906707092;834;3;27;51;63;135;189;195;102;54;18;0;0;3;0;0;0
29067 Málaga;Sección 2906707095;501;0;21;27;42;57;126;135;63;24;6;0;0;0;0;0;0
29067 Málaga;Sección 2906708001;705;0;24;63;96;87;111;90;93;90;48;0;0;0;0;0;0
29067 Málaga;Sección 2906708003;534;0;21;48;48;57;48;90;105;69;42;6;0;0;0;0;0
29067 Málaga;Sección 2906708006;870;3;39;45;93;111;147;198;108;81;42;3;3;0;0;0;0
29067 Málaga;Sección 2906708007;669;6;48;54;54;75;87;87;132;93;36;0;0;0;0;0;0
29067 Málaga;Sección 2906708010;954;3;54;81;99;123;159;174;132;78;45;3;0;0;0;0;0
29067 Málaga;Sección 2906708011;825;3;66;93;90;108;93;114;111;93;54;0;0;0;0;0;0
29067 Málaga;Sección 2906708012;1167;9;72;108;156;186;201;162;129;102;39;6;0;0;0;0;0
29067 Málaga;Sección 2906708013;774;6;36;84;81;87;81;135;114;84;54;9;3;0;0;0;0
29067 Málaga;Sección 2906708015;513;6;45;60;57;60;78;75;63;48;15;3;0;0;0;0;0
29067 Málaga;Sección 2906708017;618;3;42;54;78;87;93;99;78;51;24;3;3;0;0;0;3
29067 Málaga;Sección 2906708018;630;6;27;36;60;69;117;129;90;69;30;0;0;0;0;0;0
29067 Málaga;Sección 2906708028;984;6;42;75;135;174;192;141;102;81;30;3;0;0;0;0;0
29067 Málaga;Sección 2906708029;876;3;33;90;84;90;120;195;144;78;24;9;3;0;0;0;0
29067 Málaga;Sección 2906708030;1266;3;30;87;141;246;228;183;120;132;69;27;0;0;0;0;0
29067 Málaga;Sección 2906708031;654;3;21;66;87;81;93;93;87;75;39;6;3;0;0;0;0
29067 Málaga;Sección 2906708033;1056;0;15;48;90;198;219;195;147;105;30;6;0;0;0;0;0
