Municipio de residencia;Seccion de residencia;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64;65-69;70-74;75-79;80-84;85-89;90-94;95-99
29067 Málaga;Sección 2906708040;*;*;140;205;200;105;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708041;*;*;*;*;*;170;105;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708042;*;60;100;250;125;115;150;85;*;90;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708043;*;*;*;315;365;135;190;200;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708044;*;*;155;155;140;130;155;75;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708045;*;*;*;*;*;*;80;*;60;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708046;*;*;110;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708047;*;*;*;60;70;65;65;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708048;*;*;*;*;*;*;95;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708049;*;*;*;*;*;150;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708050;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708051;*;*;85;*;*;*;*;*;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708052;*;55;*;105;45;50;125;80;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708053;*;80;90;*;*;*;*;125;110;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708054;*;*;50;60;130;250;120;75;*;*;*;*;*;*;*;*;*
29067 Málaga;Sección 2906708055;*;*;*;120;145;160;65;*;*;*;*;*;*;*;*;*;*
